comparison_group,method,endpoint,requests,denominator,strict_sun,meta_sun,strict_percent,meta_percent,source_id,source_pointer,note,evidence
H1A2_frozen_survivor1000,H1-A2 historical compatibility,tau800,1000,historical_first1000_survivors,94,474,9.4,47.4,h1a2_exact1200_terminal,/historical_old_protocol_recomputation,The historical word raw denotes unadjusted rate; structures already passed model494 tau800.,machine_terminal
H1A2_frozen_survivor1000,"H1-A2 same frozen1000, fresh official",tau800,1000,historical_first1000_survivors,96,478,9.6,47.8,h1a2_exact1200_terminal,/cells/historical,Evaluator-only view of existing frozen1000.,machine_terminal
H1A2_R03_exact1200,H1-A2 exact Plan1200,tau800,1200,all_requested,103,553,8.583333333333334,46.083333333333336,h1a2_exact1200_terminal,/cells/control,Same archived Plan IDs and per-ordinal seed contract within this pair.,machine_terminal
H1A2_R03_exact1200,R03 exact Plan1200,tau800,1200,all_requested,101,559,8.416666666666666,46.583333333333336,h1a2_exact1200_terminal,/cells/candidate,Same archived Plan IDs and per-ordinal seed contract within this pair.,machine_terminal
H1A2_R03_exact1200,H1-A2 exact1200 survivor-prefix view,tau800,1000,first1000_body_successes_compatibility,94,479,9.4,47.9,h1a2_exact1200_terminal,/historical_style_survivor_prefix1000/control,Same generation as all1200; not a new run or independent estimate.,machine_terminal
H1A2_R03_exact1200,R03 exact1200 survivor-prefix view,tau800,1000,first1000_body_successes_compatibility,90,488,9.0,48.8,h1a2_exact1200_terminal,/historical_style_survivor_prefix1000/candidate,Same generation as all1200; not a new run or independent estimate.,machine_terminal
archived_reproduction256_official_completion,H1-A2 archived256 official completion,tau800,256,all_requested,24,118,9.375,46.09375,h1a2_r03_archive256_terminal,/arms/control,"Same archived generation/refinement/energy and N/U; only official hull completion. One cohort, not independent confirmation.",machine_terminal
archived_reproduction256_official_completion,R03 archived256 official completion,tau800,256,all_requested,28,128,10.9375,50.0,h1a2_r03_archive256_terminal,/arms/candidate,"Same archived generation/refinement/energy and N/U; only official hull completion. One cohort, not independent confirmation.",machine_terminal
R03_original_first256_process_repeat_panel,R03 four-process old cache,tau800,1024,4_process_repeats_of_same256,117,496,11.42578125,48.4375,r03_four_process_official_terminal,/cell_reports[panel=R03_REFINED256_CURRENT_REPLAY]/old,"Four CUDA realizations of the same Plan cohort, not four independent Planner samples; old/clean are views of the same structures.",machine_terminal
R03_original_first256_process_repeat_panel,R03 four-process clean cache,tau800,1024,4_process_repeats_of_same256,120,500,11.71875,48.828125,r03_four_process_official_terminal,/cell_reports[panel=R03_REFINED256_CURRENT_REPLAY]/clean,"Four CUDA realizations of the same Plan cohort, not four independent Planner samples; old/clean are views of the same structures.",machine_terminal
grounding_fixed1000,Grounding control,tau800,1000,all_requested,89,487,8.9,48.7,grounding_fixed1000,/cells[arm=control],Counterfactual Plan grounding versus matched teacher-CE control.,machine_terminal
grounding_fixed1000,Grounding candidate,tau800,1000,all_requested,86,467,8.6,46.7,grounding_fixed1000,/cells[arm=candidate],Counterfactual Plan grounding versus matched teacher-CE control.,machine_terminal
sufficient_same_plan1000,Sufficient DLM total epoch2,tau800,1000,all_requested,81,489,8.1,48.9,sufficient_dlm1000,/pooled[epoch=2],"raw1000 in the filename denotes requested attempts, not an unrefined endpoint; records explicitly include refined outputs.",machine_terminal
sufficient_same_plan1000,Sufficient DLM total epoch3,tau800,1000,all_requested,79,477,7.9,47.7,sufficient_dlm1000,/pooled[epoch=3],"raw1000 in the filename denotes requested attempts, not an unrefined endpoint; records explicitly include refined outputs.",machine_terminal
sgtc_l7_seed18_1000,SGTC L7 base,tau800,1000,all_requested,60,412,6.0,41.2,sgtc_l7_official1000,/cells[arm=base],,machine_terminal
sgtc_l7_seed18_1000,SGTC L7 g0_all,tau800,1000,all_requested,55,421,5.5,42.1,sgtc_l7_official1000,/cells[arm=g0_all],,machine_terminal
sgtc_l7_seed18_1000,SGTC L7 g1_strict,tau800,1000,all_requested,53,417,5.3,41.7,sgtc_l7_official1000,/cells[arm=g1_strict],,machine_terminal
L6_fixed_two_seed_panel,L6 full_axis,tau800,512,reported_two_seed_256_sum,48,230,9.375,44.921875,condition_schedule_l6,/pooled_repeat_sum[arm=full_axis],,machine_terminal
L6_fixed_two_seed_panel,L6 full_joint,tau800,512,reported_two_seed_256_sum,29,146,5.6640625,28.515625,condition_schedule_l6,/pooled_repeat_sum[arm=full_joint],,machine_terminal
L6_fixed_two_seed_panel,L6 hard_axis,tau800,512,reported_two_seed_256_sum,47,230,9.1796875,44.921875,condition_schedule_l6,/pooled_repeat_sum[arm=hard_axis],,machine_terminal
L6_fixed_two_seed_panel,L6 hard_joint,tau800,512,reported_two_seed_256_sum,35,181,6.8359375,35.3515625,condition_schedule_l6,/pooled_repeat_sum[arm=hard_joint],,machine_terminal
L6_fixed_two_seed_panel,L6 full_axis raw,raw_before_model494,512,reported_two_seed_256_sum,10,66,1.953125,12.890625,refiner_conversion_l6,"/pooled_repeat_sum[source_arm=full_axis,stage=raw]",,machine_terminal
L6_fixed_two_seed_panel,L6 hard_axis raw,raw_before_model494,512,reported_two_seed_256_sum,2,7,0.390625,1.3671875,refiner_conversion_l6,"/pooled_repeat_sum[source_arm=hard_axis,stage=raw]",,machine_terminal
L6_fixed_two_seed_panel,L6 full_axis tau200,tau200,512,reported_two_seed_256_sum,29,171,5.6640625,33.3984375,tau_calibration_l6,/pooled_repeat_sum[tau=200],,machine_terminal
L6_fixed_two_seed_panel,L6 full_axis tau500,tau500,512,reported_two_seed_256_sum,39,222,7.6171875,43.359375,tau_calibration_l6,/pooled_repeat_sum[tau=500],,machine_terminal
september_fixed_development256_commonR,Reference,raw,256,all_requested,6,55,2.34375,21.484375,september7_completed_snapshot,/development[method=Reference] / raw,,machine_terminal
september_fixed_development256_commonR,Reference,tau800,256,all_requested,19,121,7.421875,47.265625,september7_completed_snapshot,/development[method=Reference] / tau800,,machine_terminal
september_fixed_development256_commonR,K4,raw,256,all_requested,7,57,2.734375,22.265625,september7_completed_snapshot,/development[method=K4] / raw,,machine_terminal
september_fixed_development256_commonR,K4,tau800,256,all_requested,19,126,7.421875,49.21875,september7_completed_snapshot,/development[method=K4] / tau800,,machine_terminal
september_fixed_development256_commonR,K8,raw,256,all_requested,11,66,4.296875,25.78125,september7_completed_snapshot,/development[method=K8] / raw,,machine_terminal
september_fixed_development256_commonR,K8,tau800,256,all_requested,17,123,6.640625,48.046875,september7_completed_snapshot,/development[method=K8] / tau800,,machine_terminal
september_fixed_development256_commonR,V2 repair,raw,256,all_requested,8,50,3.125,19.53125,september7_completed_snapshot,/development[method=V2 repair] / raw,,machine_terminal
september_fixed_development256_commonR,V2 repair,tau800,256,all_requested,16,113,6.25,44.140625,september7_completed_snapshot,/development[method=V2 repair] / tau800,,machine_terminal
september_fixed_development256_commonR,V3 G,raw,256,all_requested,9,61,3.515625,23.828125,september7_completed_snapshot,/development[method=V3 G] / raw,,machine_terminal
september_fixed_development256_commonR,V3 G,tau800,256,all_requested,13,116,5.078125,45.3125,september7_completed_snapshot,/development[method=V3 G] / tau800,,machine_terminal
september_fixed_development256_commonR,V2 construction,raw,256,all_requested,12,44,4.6875,17.1875,september7_completed_snapshot,/development[method=V2 construction] / raw,,machine_terminal
september_fixed_development256_commonR,V2 construction,tau800,256,all_requested,17,120,6.640625,46.875,september7_completed_snapshot,/development[method=V2 construction] / tau800,,machine_terminal
september_fixed_development256_commonR,V3 T construction,raw,256,all_requested,13,53,5.078125,20.703125,september7_completed_snapshot,/development[method=V3 T construction] / raw,,machine_terminal
september_fixed_development256_commonR,V3 T construction,tau800,256,all_requested,17,111,6.640625,43.359375,september7_completed_snapshot,/development[method=V3 T construction] / tau800,,machine_terminal
september_fixed_development256_commonR,K4 short-contact v1 (eval_40074),raw,256,all_requested,6,56,2.34375,21.875,september7_completed_snapshot,/development[method=K4 short-contact v1 (eval_40074)] / raw,,machine_terminal
september_fixed_development256_commonR,K4 short-contact v1 (eval_40074),tau800,256,all_requested,20,122,7.8125,47.65625,september7_completed_snapshot,/development[method=K4 short-contact v1 (eval_40074)] / tau800,,machine_terminal
september_fixed_development256_commonR,K8 short-contact v1 (eval_40074),raw,256,all_requested,11,68,4.296875,26.5625,september7_completed_snapshot,/development[method=K8 short-contact v1 (eval_40074)] / raw,,machine_terminal
september_fixed_development256_commonR,K8 short-contact v1 (eval_40074),tau800,256,all_requested,15,123,5.859375,48.046875,september7_completed_snapshot,/development[method=K8 short-contact v1 (eval_40074)] / tau800,,machine_terminal
