group,source_id,ordinal,formula,comp_valid_standard,comp_valid,mixed_supplement,struct_valid,V,U,N,UN,VUN,VUN_standard,Stable,MetaStable,SUN,MSUN,terminal_status
F800,H1A2_1200:0000,0,Sn,True,True,False,True,True,True,False,False,False,False,False,True,False,False,verified
F800,H1A2_1200:0001,1,Se12Ba4Pr2Tm2,False,False,False,True,False,True,True,True,False,False,False,True,False,True,verified
F800,H1A2_1200:0002,2,Mn12Ge4,True,True,False,True,True,True,True,True,True,True,False,True,False,True,verified
F800,H1A2_1200:0003,3,O4Se2In2Bi2,True,True,False,True,True,True,True,True,True,True,False,False,False,False,verified
F800,H1A2_1200:0004,4,Cu2Ge4Nd2,True,True,False,True,True,True,True,True,True,True,False,True,False,True,verified
F800,H1A2_1200:0005,5,MgRh,True,True,False,True,True,True,False,False,False,False,True,True,False,False,verified
F800,H1A2_1200:0006,6,Ti2Co2As4,True,True,False,True,True,True,True,True,True,True,False,False,False,False,verified
F800,H1A2_1200:0007,7,O12Na2Sr2Tm2W2,True,True,False,True,True,True,True,True,True,True,False,True,False,True,verified
F800,H1A2_1200:0008,8,O6TiSr2Sb,True,True,False,True,True,True,True,True,True,True,False,False,False,False,verified
F800,H1A2_1200:0009,9,P4K4,True,True,False,True,True,True,True,True,True,True,False,True,False,True,verified
F800,H1A2_1200:0011,10,Li2F8V2,True,True,False,True,True,True,True,True,True,True,False,True,False,True,verified
F800,H1A2_1200:0012,11,O10Sr2Y2Ba2Bi2,True,True,False,True,True,True,True,True,True,True,False,False,False,False,verified
F800,H1A2_1200:0013,12,H6O6Ca2Rb2,True,True,False,True,True,True,True,True,True,True,False,True,False,True,verified
F800,H1A2_1200:0014,13,O8NaY4Tl,True,True,False,True,True,True,True,True,True,True,False,False,False,False,verified
F800,H1A2_1200:0015,14,YAg3,True,True,False,True,True,True,True,True,True,True,False,True,False,True,verified
F800,H1A2_1200:0016,15,Ti3Ge6Tm6,True,True,False,True,True,True,True,True,True,True,False,True,False,True,verified
F800,H1A2_1200:0017,16,O6Cs3Nd,True,True,False,True,True,True,True,True,True,True,False,False,False,False,verified
F800,H1A2_1200:0018,17,As2Eu4Au2,True,True,False,True,True,True,True,True,True,True,False,True,False,True,verified
F800,H1A2_1200:0019,18,F6NaCs2Pb,True,True,False,True,True,True,False,False,False,False,True,True,False,False,verified
F800,H1A2_1200:0020,19,H10Al4K2,False,False,False,True,False,True,True,True,False,False,False,False,False,False,verified
F800,H1A2_1200:0021,20,B2Rh3,False,False,False,True,False,True,True,True,False,False,False,True,False,True,verified
F800,H1A2_1200:0022,21,K2As4Ag6,True,True,False,True,True,True,True,True,True,True,False,True,False,True,verified
F800,H1A2_1200:0023,22,O6Ba2TbU,True,True,False,True,True,True,True,True,True,True,True,True,True,True,verified
F800,H1A2_1200:0024,23,Li2O4F6V2,True,True,False,True,True,True,True,True,True,True,False,False,False,False,verified
F800,H1A2_1200:0025,24,Li4F8V2,True,True,False,True,True,True,True,True,True,True,False,True,False,True,verified
F800,H1A2_1200:0026,25,Pd2Ag2,True,True,False,True,True,True,True,True,True,True,True,True,True,True,verified
F800,H1A2_1200:0027,26,O6NbBa2Tb,True,True,False,True,True,True,False,False,False,False,False,True,False,False,verified
F800,H1A2_1200:0028,27,O8YMo2,True,True,False,True,True,True,True,True,True,True,False,False,False,False,verified
F800,H1A2_1200:0029,28,Si2Fe2Dy,True,True,False,True,True,True,True,True,True,True,False,True,False,True,verified
F800,H1A2_1200:0030,29,Cl6Rb2Ir,True,True,False,True,True,True,True,True,True,True,True,True,True,True,verified
F800,H1A2_1200:0031,30,O12Fe4Zr2,True,True,False,True,True,True,True,True,True,True,False,False,False,False,verified
F800,H1A2_1200:0032,31,O4S4Mo2Te4,True,True,False,True,True,True,True,True,True,True,False,False,False,False,verified
F800,H1A2_1200:0033,32,LiBr3Cs,False,False,False,True,False,True,True,True,False,False,False,False,False,False,verified
F800,H1A2_1200:0034,33,Si3CaAg,False,False,False,True,False,True,True,True,False,False,False,False,False,False,verified
F800,H1A2_1200:0035,34,O4S8Ta4,True,True,False,True,True,True,True,True,True,True,False,False,False,False,verified
F800,H1A2_1200:0036,35,Ge2Rh4Hf4,True,True,False,True,True,True,True,True,True,True,False,True,False,True,verified
F800,H1A2_1200:0037,36,Mg2Ag2Cd2,True,True,False,True,True,True,True,True,True,True,False,True,False,True,verified
F800,H1A2_1200:0038,37,Sc2CdPb,True,True,False,True,True,True,True,True,True,True,False,False,False,False,verified
F800,H1A2_1200:0039,38,Ti5Cu6Ge4,True,True,False,True,True,True,True,True,True,True,False,False,False,False,verified
F800,H1A2_1200:0040,39,Mg6As8,False,False,False,True,False,True,True,True,False,False,False,False,False,False,verified
F800,H1A2_1200:0041,40,CaCd2In,True,True,False,True,True,True,True,True,True,True,False,True,False,True,verified
F800,H1A2_1200:0042,41,O4Sb2,True,True,False,True,True,True,True,True,True,True,False,False,False,False,verified
F800,H1A2_1200:0043,42,H4O10K2Co3,True,True,False,True,True,True,True,True,True,True,False,False,False,False,verified
